Run	Pol(1+,2-)	Mom	Pol=1 =+v2,2=-v2
5973	2	2.05	
5974	2	2.04	
5975	2	2.04	
5976	2	2.04	
5977	1	2.07	
5978	1	2.05	
5980	1	2.06	
5981	1	2.06	
5982	1	2.06	
5984	1	2.06	
5987	1	2.05	
5988	1	2.06	
5989	1	2.06	
5990	1	2.06	
5991	1	2.06	
5993	1	2.06	
5994	1	2.06	
5996	1	2.06	
5997	1	2.05	
5998	1	2.06	
5999	1	2.06	
6000	1	2.07	
6001	1	2.06	
6002	1	2.05	
6003	1	2.07	
6004	1	2.07	
6005	1	2.07	
6006	1	2.06	
6007	1	2.06	
6008	1	2.06	
