run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
7759	483.3	37.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9801	0.9902	0.9758	0.8487		
7760	57.6	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9963	0.9868	0.9971	0.8786		
7762	8.5	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9982	0.9894	0.9996	0.8847		
7763	28.1	50.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9974	0.9868	0.9986	0.8809		
7765	69.3	20.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9959	0.9947	0.9965	0.8847		
7766	68.1	19.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9959	0.9949	0.9966	0.8849		
7768	120.5	17.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9939	0.9954	0.9940	0.8813		
7769	120.3	17.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9939	0.9954	0.9940	0.8813		
7770	120.1	17.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9939	0.9954	0.9940	0.8813		
7771	119.9	17.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9939	0.9954	0.9940	0.8813		
7772	45.7	39.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9968	0.9897	0.9977	0.8820		
7773	91.9	39.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9898	0.9954	0.8786		
7774	92.7	39.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9897	0.9954	0.8784		
7775	324.9	23.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9861	0.9940	0.9838	0.8641		
7776	325.3	23.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9861	0.9940	0.9837	0.8641		
7777	325.7	23.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9861	0.9940	0.9837	0.8641		
7778	146.1	20.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9929	0.9947	0.9927	0.8787		
7779	146.2	20.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9929	0.9947	0.9927	0.8787		
7781	286.3	19.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9876	0.9950	0.9857	0.8680		
7782	286.2	19.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9876	0.9950	0.9857	0.8680		
7783	489.3	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9798	0.9955	0.9755	0.8528		
7784	489.4	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9798	0.9955	0.9755	0.8528		
7785	491.1	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9798	0.9955	0.9754	0.8527		
7786	493.5	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9797	0.9955	0.9753	0.8525		
7787	495.0	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9955	0.9752	0.8524		
7790	187.3	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9914	0.9894	0.9906	0.8708		
7791	186.9	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9914	0.9894	0.9907	0.8708		
7792	187.0	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9914	0.9894	0.9907	0.8708		
7793	27.3	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9975	0.9894	0.9986	0.8832		
7794	27.3	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9975	0.9894	0.9986	0.8832		
7796	224.6	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9899	0.9867	0.9888	0.8655		
7797	224.6	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9899	0.9867	0.9888	0.8655		
7798	418.9	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9825	0.9867	0.9791	0.8506		
7799	418.7	51.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9825	0.9867	0.9791	0.8506		
7800	212.0	25.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9904	0.9933	0.9894	0.8723		
7801	48.8	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9966	0.9894	0.9976	0.8816		
7802	48.8	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9966	0.9894	0.9976	0.8816		
7803	91.6	40.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9894	0.9954	0.8782		
7804	91.8	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9893	0.9954	0.8781		
7805	496.9	30.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9796	0.9920	0.9752	0.8492		
